OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
4;Brandon Hill Park - Public Conveniences;Great George Street, City Centre, Bristol;BS1 5PZ;Hotwells & Harbourside;Monday - Sunday 08.00 - 15.30, excluding Christmas Day;1;1;1;0;1;YES - Support rail, cubicle size 188 x 270cm, seat height 48cm, mirror, contrast skirting, non reflective wall, non-slip floors, accessible locks;N;N;no;N;Y;N;N;;N;"{""coordinates"": [-2.607472789568813, 51.45374213233456], ""type"": ""Point""}";51.45374213233456, -2.607472789568813
57;Barton Hill Settlement;41-43 Ducie Road;BS5 0AX;Lawrence Hill;Monday - Friday 9:00 - 16:00;2;;2;0;2;YES- toilet height 48cm, cubicle size 150cmx 210cm, contrasting walls and floor, hand rails, mirror;N;N;Yes- during open time;N;Y;N;N;Y;Y;"{""coordinates"": [-2.563674974700087, 51.4562494756259], ""type"": ""Point""}";51.4562494756259, -2.563674974700087
71;McDonald's - Hengrove Leisure Park;Hengrove Leisure Park, Hengrove Way;BS14 0HR;Hengrove & Whitchurch Park;07:00 - 23:00;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.5886033962748014, 51.41680109233672], ""type"": ""Point""}";51.41680109233672, -2.5886033962748014
120;Grupo Lounge (Lounges);8 Canford Lane;BS9 3DH;Westbury-on-Trym & Henleaze;Mon- Sun 9am-11pm;1;;2;;1;YES- door width 85cm, cubicle size 220x130cm, seat height 48cm, handrails, mirror, contrasting floor wall,;;N;Yes during open times;N;Y;;N;;;"{""coordinates"": [-2.619315150197528, 51.49292183201815], ""type"": ""Point""}";51.49292183201815, -2.619315150197528
134;McDonald's - Avonmeads;Avonmeads Retail Park, St Philips Causeway;BS2 0SP;Lawrence Hill;06:00 - 23:00;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.5603689727040835, 51.44718357349885], ""type"": ""Point""}";51.44718357349885, -2.5603689727040835
147;We the Curious - Cafe;Anchor Road, Bristol;BS1 5DB;Hotwells & Harbourside;Monday-Friday 10:00-17:00, (during term time), 10:00-18:00, weekends, bank holidays and Bristol school holidays;0;0;0;2;1;YES - Support rail door 90cm, Cubical size 220 x 168cm, Seat 48cm, non slip floor, large catch. Hoist;N;;yes;Y;Y;N;N;;N;"{""coordinates"": [-2.600487222378811, 51.450419442926425], ""type"": ""Point""}";51.450419442926425, -2.600487222378811
612;The Park, Daventry Road;Daventry Road, Knowle, Bristol;BS4 1DQ;Knowle;Monday-Friday 7:00-22.00, Saturday-Sunday 9:00-16:00;1;;3;;1;YES - Support rail moveable, door width 95cm, cubical size 220 x 242cm, height of seat 50cm, non reflecting wall, non slip floor;;;;;Y;;;;;"{""coordinates"": [-2.5814625422852884, 51.429724968128], ""type"": ""Point""}";51.429724968128, -2.5814625422852884
151;Cabot Circus Shopping Centre 3rd Floor Management Suite;Glass House, Broadmead;BS1 3BX;Central;Covid-19 update: open Monday-Saturday 09:00-20:15, Sunday 09:00-17:30;7;13;24;0;5;YES - 5 units, support rails, seat height is 36- 40cm, contracting skirting, non slip foor, non reflecting walls and floors;N;N;Y during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.585266544061064, 51.45784273970427], ""type"": ""Point""}";51.45784273970427, -2.585266544061064
70;Morrison's - Hartcliffe;Hareclive Road, Petersons Avenue, Hartcliffe;BS14 0BE;Hartcliffe & Withywood;7am - 10pm;2;3;3;;1;YES - Cubical size 140-200cm. Seat Height 48cm. handrails.;N;;Y during open hours;N;Y;N;N;Y;Y;"{""coordinates"": [-2.599634281854773, 51.40520040398443], ""type"": ""Point""}";51.40520040398443, -2.599634281854773
6481;Bedminster Library;4, St Peters Court, Bedminster Parade, Bedminster, Bristol;BS3 4AQ;Southville;Monday, Wednesday 10am - 7pm, Thursday, Friday, Saturday 10am - 5pm, Closed Tuesday and Sunday.;0;0;0;1;1;Radar key required. Door width 93cm, cubicle 230x198cm, seat hight 48cm, Handrails. Low level lighting;;N;;Y;Y;N;N;N;;"{""coordinates"": [-2.593713439425774, 51.44426543770273], ""type"": ""Point""}";51.44426543770273, -2.593713439425774
59;Tesco - Golden Hill;Golden Hill, Lime Trees Road;BS6 7XW;Westbury-on-Trym & Henleaze;Monday-Saturday 08:00-22:00, Sunday 10:00-16:00;1;2;2;;1;YES - Movable handrails. Cubical size 150-170cm. Seat height 48cm.;N;N;Y - During open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.5961699410625116, 51.48572511479389], ""type"": ""Point""}";51.48572511479389, -2.5961699410625116
9395;Coffee#1 Clifton;33 Princess Victoria Street;BS8 4BX;Clifton;Monday to Saturday 07:30 to 18:00 Sunday 09:00 to 17:00;0;0;0;1;0;N/A;No;No;N/A;No;Yes;No;No;No;Yes;"{""coordinates"": [-2.6205734315267453, 51.45437004978789], ""type"": ""Point""}";51.45437004978789, -2.6205734315267453
9398;Future Leap;1 - 3 Gloucester Road Bishopston Bristol;BS7 8AA;Ashley;Monday to Friday 09:00-16:00 Saturday & Sunday 10:00-16:00;0;0;0;2;0;N/A;No;No;N/A;No;0;No;Yes;No;<Null>;"{""coordinates"": [-2.593219912386491, 51.470391609595175], ""type"": ""Point""}";51.470391609595175, -2.593219912386491
9378;Henbury Leisure Centre;Avonmouth Way, Henbury, Bristol;BS10 7NG;Henbury & Brentry;Monday to Friday 06:30-22:00, Saturday & Sunday 08:00-16:00;1;1;2;0;1;Door over 1 metre, 350 x 165 cubicle, seat height 46cm, support rails by hand basin and toilet movable, seat has locking lugs, mirror, no colour-contr;No;No;Yes - during opening times;No;1;No;Yes;Yes;;"{""coordinates"": [-2.632595560108816, 51.50935690110484], ""type"": ""Point""}";51.50935690110484, -2.632595560108816
9402;Royal West Of England Academy Art Gallery;Queens Road Clifton Bristol;BS8 1PX;Central;Mondays CLOSED, Tuesday to Sunday 10:00-17:00;2;3;3;1;2;Door over 1 metre, 230 x 150, seat height 50cm, support rails by hand basin and toilet are movable, no locking lugs on seat, mirror, colour-contrastin;Yes;No;Yes - during opening times;Yes;2;No;Yes;No;<Null>;"{""coordinates"": [-2.6082894879426615, 51.458157210887464], ""type"": ""Point""}";51.458157210887464, -2.6082894879426615
9406;The Bristol Flyer;96 Gloucester Road Bishopston Bristol;BS7 8BN;Redland;Monday to Thursday 12:00-23:00, Friday & Saturday 12:00-00:00, Sunday 12:00-22:00;2;5;3;0;1;Door over 1 metre, 180 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet are movable,  seat does not have locking lugs, mirror,;No;Yes;Yes - during opening times;Yes;1;No;Yes;No;<Null>;"{""coordinates"": [-2.591739048734966, 51.4746657956986], ""type"": ""Point""}";51.4746657956986, -2.591739048734966
9409;The Fire Engine;188 Church Road Redfield Bristol;BS5 9HX;St George West;Monday to Sunday 11:00-21:00;1;3;1;0;2;Door less than 1 metre, 150 x 95 cubicle, no support rails, seat height 44cm, seat has locking lugs, mirror, colour-contrasting skirting, wall and flo;No;No;No;No;0;No;No;No;<Null>;"{""coordinates"": [-2.551177689118408, 51.45950986328811], ""type"": ""Point""}";51.45950986328811, -2.551177689118408
9412;The Lounge;227-231 North Street, Bedminster, Bristol;BS3 1JJ;Southville;Monday to Sunday 09:00-23:00;1;1;2;0;1;Door less than 1 metre, 200 x 100 cubicle, seat height 49cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, no colour-co;No;No;No;No;1;No;Yes;No;<Null>;"{""coordinates"": [-2.6122073445775946, 51.44113326209211], ""type"": ""Point""}";51.44113326209211, -2.6122073445775946
1;Snuff Mills Park Public Conveniences;River View, Bristol;BS16 1DL;Frome Vale;Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day;1;0;0;2;1;YES - Door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, coloured skirting, non reflective wall, non slip floor, accessible lock;N;N;;Y;Y;N;N;N;N;"{""coordinates"": [-2.5444866478456984, 51.48623723049221], ""type"": ""Point""}";51.48623723049221, -2.5444866478456984
9419;Nectar House;169 Gloucester Road Bishopston Bristol;BS7 8BE;Ashley;;;;;1;1;;;;;;;;;;;"{""coordinates"": [-2.5913644893151937, 51.47449194431471], ""type"": ""Point""}";51.47449194431471, -2.5913644893151937
2418;East Trees Health Centre;100a Fishponds Road;BS5 6SA;Eastville;COVID-19: CLOSED Monday 08:00-19:30, Tuesday-Friday 08:00-18:30;2;;2;;1;YES - Door width 90cm, cubicle size 220 x 140cm, moveable support rails;N;N;Yes during open times;;;Y;;;;"{""coordinates"": [-2.5622003671159046, 51.47010419996987], ""type"": ""Point""}";51.47010419996987, -2.5622003671159046
55;Burger King;4 Eastgate Road, Eastgate Centre;BS5 6XX;Lockleaze;COVID-19: CLOSED Monday-Friday 08:00-23:00, Saturday-Sunday 09:00-23:00;;;;;1;YES;N;N;Yes - during open times;N;Y;N;N;;N;"{""coordinates"": [-2.5650459887428942, 51.47404649410268], ""type"": ""Point""}";51.47404649410268, -2.5650459887428942
76;A4 Brislington Park and Ride;Brislington Park And Ride, Stockwood Road, Brislington, Bristol;BS4 5ZZ;Brislington West;Monday-Friday 6:30am to 9:30pm, Saturday 7:30am to 8pm, Sunday - Closed;2;;2;;1;YES, Door width 90cm, Cubical size 140x160cm, Seat Height 44cm;N;N;None;N;N;N;N;;N;"{""coordinates"": [-2.5370896967582524, 51.427906158623955], ""type"": ""Point""}";51.427906158623955, -2.5370896967582524
145;St George Library;St George Library, Church Road, St George, Bristol;BS5 8AL;St George West;3-7 Monday, 10 - 2 Tuesday, 1-5 Wednesday, 10-2 Thursday, 1-5 Friday, 11-5 Saturday;;;;1;Yes;;N;N;N;N;Y;N;N;N;N;"{""coordinates"": [-2.5442947523612633, 51.46049502773744], ""type"": ""Point""}";51.46049502773744, -2.5442947523612633
157;Southville Centre;Beauley Road;BS3 1QG;Southville;Monday-Thursday 8:30-20:15, Friday 8:30-18:00.;1;3;3;;1;YES - Door 86cm, Cubical: 193x199cm. Seat height 48cm. Support rails.;N;;Yes during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.605536146122217, 51.44368561598767], ""type"": ""Point""}";51.44368561598767, -2.605536146122217
159;Windmill Hill City Farm;Philip Street, Bedminster, Bristol;BS3 4EA;Southville;Monday-Sunday 09:00-17:00. Closed December 25-January 2;1;2;1;2;2;YES - Cafe toilets are accessible;;N;Yes. During opening hours;N;Y;Y;N;;Y;"{""coordinates"": [-2.5928275308653883, 51.44231204271132], ""type"": ""Point""}";51.44231204271132, -2.5928275308653883
529;SS Great Britain;Great Western Dockyard, Gas Ferry Road, Bristol;BS1 6TY;Hotwells & Harbourside;Monday-Sunday 10:00-16:30;;;;;1;YES;;;;;;;;;;"{""coordinates"": [-2.6074594459065135, 51.44884116324008], ""type"": ""Point""}";51.44884116324008, -2.6074594459065135
3521;Avonmouth Community Centre;257 Avonmouth Road, Avonmouth;BS11 9EN;Avonmouth & Lawrence Weston;Monday - Thursday 09.30-16:30;1;3;2;;1;YES - Movable support rails, Cubical size 170 - 240cm. Seat height 46cm.;N;N;Y - Monitored during open times;N;N;N;N;Y;Y;"{""coordinates"": [-2.698363379203755, 51.50016251963024], ""type"": ""Point""}";51.50016251963024, -2.698363379203755
4497;Ashton Gate Limited;Coffee Shop, Ashton Gate Stadium, Bristol;BS3 2EL;Bedminster;Monday-Friday 08:00-16:00 closed to public on Match days;;;;1;1;YES - Cubical size 140-240cm. Seat height 48. handrails;N;N;Yes - during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.620749692421803, 51.439308645769536], ""type"": ""Point""}";51.439308645769536, -2.620749692421803
596;Knowle West Media Centre;Knowle West Media Centre Leinster Avenue Bristol;BS4 1NL;Filwood;Monday -Friday 9:30-17:00;2;;2;;1;YES - Door width 90cm. cubical size 150-210cm. Seat height 48cm.;N;N;Yes- during open times;N;Y;;N;Y;Y;"{""coordinates"": [-2.593129767220259, 51.42547936338119], ""type"": ""Point""}";51.42547936338119, -2.593129767220259
5;Blaise Castle Estate Public Conveniences;Kings Weston Road, Kingsweston, Bristol;BS10 7QT;Henbury & Brentry;Winter Monday - Sunday 08.30 -15:30. Summer Monday - Friday  8:30 - 16.00 hours, excluding Christmas Day;2;1;5;0;1;YES - Movable hand rail, Coor 91cm, Cubical 220x270. Height of seat 43cm, mirror, no reflective wall, non slip floor accessible locks;N;;yes;Y;Y;N;N;;N;"{""coordinates"": [-2.636652172538089, 51.50543521698825], ""type"": ""Point""}";51.50543521698825, -2.636652172538089
3841;Redcatch Park Pavillion;Redcatch Park, Broad Walk, Knowle;BS4 2RA;Knowle;07:00- 16:00 for event or when other toilets in the park are broken;0;0;0;2;1;YES - movable support rail, door 89cm, 171x150cm, 42cm high, mirror, coured skirting, non slip floor, non reflective wall, accessible lock;N;N;no;N;N;N;N;N;;"{""coordinates"": [-2.5713956534852143, 51.43394638775215], ""type"": ""Point""}";51.43394638775215, -2.5713956534852143
48;Long Ashton Park and Ride;Aston Road, Bristol;BS3 2HB;North Somerset Ward;Monday - Saturday 05:30 - 22:45;2;;2;;1;YES, Door Width 86cm, Cubical size 140x120cm, Height of seat 48cm.  door lock is high on door;N;;;;;N;N;;N;"{""coordinates"": [-2.635835772815704, 51.43623250477351], ""type"": ""Point""}";51.43623250477351, -2.635835772815704
